Province/State,Country/Region,Lat,Long,Date,Confirmed,Last Update
Ningxia,China,37.2692,106.1655,01-24-2020 ,2,
Hong Kong,Hong Kong,22.3,114.2,01-24-2020 ,2,
Macau,Macau,22.1667,113.55,01-24-2020 ,2,
Hebei,China,38.0428,114.5149,01-24-2020 ,2,
Gansu,China,36.0611,103.8343,01-24-2020 ,2,
Xinjiang,China,41.1129,85.2401,01-24-2020 ,2,
Shanxi,China,37.5777,112.2922,01-24-2020 ,1,
Inner Mongolia,China,44.0935,113.9448,01-24-2020 ,1,
Qinghai,China,35.7452,95.9956,01-24-2020 ,,
Washington,US,47.7511,-120.74,01-24-2020 ,1,
Chicago,US,41.85003,-87.65005,01-24-2020 ,1,
,Japan,36,138,01-24-2020 ,2,
,Thailand,15,101,01-24-2020 ,5,
,South Korea,36,128,01-24-2020 ,2,
,Singapore,1.2833,103.8333,01-24-2020 ,3,
,Vietnam,16,108,01-24-2020 ,2,
,France,47,2,01-24-2020 ,2,
Hubei,China,30.9756,112.2707,01-25-2020 ,761,
Guangdong,China,23.3417,113.4244,01-25-2020 ,78,
Zhejiang,China,29.1832,120.0934,01-25-2020 ,62,
Chongqing,China,30.0572,107.874,01-25-2020 ,57,
Hunan,China,27.6104,111.7088,01-25-2020 ,43,
Beijing,China,40.1824,116.4142,01-25-2020 ,41,
Anhui,China,31.8257,117.2264,01-25-2020 ,39,
Shanghai,China,31.202,121.4491,01-25-2020 ,33,
Henan,China,33.88202,113.614,01-25-2020 ,32,
Sichuan,China,30.6171,102.7103,01-25-2020 ,28,
Shandong,China,36.3427,118.1498,01-25-2020 ,27,
Guangxi,China,23.8298,108.7881,01-25-2020 ,23,
Hainan,China,19.1959,109.7453,01-25-2020 ,19,
Jiangxi,China,27.614,115.7221,01-25-2020 ,18,
Fujian,China,26.0789,117.9874,01-25-2020 ,18,
Jiangsu,China,32.9711,119.455,01-25-2020 ,18,
Liaoning,China,41.2956,122.6085,01-25-2020 ,17,
Shaanxi,China,35.1917,108.8701,01-25-2020 ,15,
Yunnan,China,24.974,101.487,01-25-2020 ,11,
Tianjin,China,39.3054,117.323,01-25-2020 ,10,
Heilongjiang,China,47.862,127.7615,01-25-2020 ,9,
Hebei,China,38.0428,114.5149,01-25-2020 ,8,
Inner Mongolia,China,44.0935,113.9448,01-25-2020 ,7,
Shanxi,China,37.5777,112.2922,01-25-2020 ,6,
Hong Kong,Hong Kong,22.3,114.2,01-25-2020 ,5,
Guizhou,China,26.8154,106.8748,01-25-2020 ,4,
Jilin,China,43.6661,126.1923,01-25-2020 ,4,
Gansu,China,36.0611,103.8343,01-25-2020 ,4,
Ningxia,China,37.2692,106.1655,01-25-2020 ,3,
Taiwan,Taiwan,23.7,121,01-25-2020 ,3,
Xinjiang,China,41.1129,85.2401,01-25-2020 ,3,
Macau,Macau,22.1667,113.55,01-25-2020 ,2,
Qinghai,China,35.7452,95.9956,01-25-2020 ,1,
Washington,US,47.7511,-120.74,01-25-2020 ,1,
Illinois,US,40.6331,-89.3985,01-25-2020 ,1,
,Japan,36,138,01-25-2020 ,2,
,Thailand,15,101,01-25-2020 ,7,
,South Korea,36,128,01-25-2020 ,2,
,Singapore,1.2833,103.8333,01-25-2020 ,3,
,Vietnam,16,108,01-25-2020 ,2,
,France,47,2,01-25-2020 ,3,
,Australia,-33.8688,151.2093,01-25-2020 ,4,
,Nepal,28.1667,84.25,01-25-2020 ,1,
,Malaysia,2.5,112.5,01-25-2020 ,3,
Hubei,China,30.9756,112.2707,01-26-2020 ,1058,
Guangdong,China,23.3417,113.4244,01-26-2020 ,111,
Zhejiang,China,29.1832,120.0934,01-26-2020 ,104,
Henan,China,33.88202,113.614,01-26-2020 ,83,
Chongqing,China,30.0572,107.874,01-26-2020 ,75,
Hunan,China,27.6104,111.7088,01-26-2020 ,69,
Beijing,China,40.1824,116.4142,01-26-2020 ,68,
Anhui,China,31.8257,117.2264,01-26-2020 ,60,
Shandong,China,36.3427,118.1498,01-26-2020 ,46,
Sichuan,China,30.6171,102.7103,01-26-2020 ,44,
Shanghai,China,31.202,121.4491,01-26-2020 ,40,
Guangxi,China,23.8298,108.7881,01-26-2020 ,36,
Jiangxi,China,27.614,115.7221,01-26-2020 ,36,
Fujian,China,26.0789,117.9874,01-26-2020 ,35,
Jiangsu,China,32.9711,119.455,01-26-2020 ,33,
Hainan,China,19.1959,109.7453,01-26-2020 ,22,
Shaanxi,China,35.1917,108.8701,01-26-2020 ,22,
Liaoning,China,41.2956,122.6085,01-26-2020 ,21,
Yunnan,China,24.974,101.487,01-26-2020 ,16,
Heilongjiang,China,47.862,127.7615,01-26-2020 ,15,
Tianjin,China,39.3054,117.323,01-26-2020 ,14,
Hebei,China,38.0428,114.5149,01-26-2020 ,13,
Shanxi,China,37.5777,112.2922,01-26-2020 ,9,
Hong Kong,Hong Kong,22.3,114.2,01-26-2020 ,8,
Inner Mongolia,China,44.0935,113.9448,01-26-2020 ,7,
Gansu,China,36.0611,103.8343,01-26-2020 ,7,
Guizhou,China,26.8154,106.8748,01-26-2020 ,5,
Macau,Macau,22.1667,113.55,01-26-2020 ,5,
Ningxia,China,37.2692,106.1655,01-26-2020 ,4,
Jilin,China,43.6661,126.1923,01-26-2020 ,4,
Taiwan,Taiwan,23.7,121,01-26-2020 ,4,
Xinjiang,China,41.1129,85.2401,01-26-2020 ,4,
Qinghai,China,35.7452,95.9956,01-26-2020 ,1,
Washington,US,47.7511,-120.74,01-26-2020 ,1,
Illinois,US,40.6331,-89.3985,01-26-2020 ,1,
California,US,36.7783,-119.418,01-26-2020 ,2,
Arizona,US,34.0489,-111.094,01-26-2020 ,1,
,Japan,36,138,01-26-2020 ,4,
,Thailand,15,101,01-26-2020 ,8,
,South Korea,36,128,01-26-2020 ,3,
,Singapore,1.2833,103.8333,01-26-2020 ,4,
,Vietnam,16,108,01-26-2020 ,2,
,France,47,2,01-26-2020 ,3,
,Australia,-33.8688,151.2093,01-26-2020 ,4,
,Nepal,28.1667,84.25,01-26-2020 ,1,
,Malaysia,2.5,112.5,01-26-2020 ,4,
Ontario,Canada,51.2538,-85.3232,01-26-2020 ,1,
Hubei,China,30.9756,112.2707,01-27-2020 ,1423,
Guangdong,China,23.3417,113.4244,01-27-2020 ,151,
Zhejiang,China,29.1832,120.0934,01-27-2020 ,128,
Henan,China,33.88202,113.614,01-27-2020 ,128,
Chongqing,China,30.0572,107.874,01-27-2020 ,110,
Hunan,China,27.6104,111.7088,01-27-2020 ,100,
Beijing,China,40.1824,116.4142,01-27-2020 ,80,
Shandong,China,36.3427,118.1498,01-27-2020 ,75,
Jiangxi,China,27.614,115.7221,01-27-2020 ,72,
Anhui,China,31.8257,117.2264,01-27-2020 ,70,
Sichuan,China,30.6171,102.7103,01-27-2020 ,69,
Fujian,China,26.0789,117.9874,01-27-2020 ,59,
Shanghai,China,31.202,121.4491,01-27-2020 ,53,
Jiangsu,China,32.9711,119.455,01-27-2020 ,47,
Guangxi,China,23.8298,108.7881,01-27-2020 ,46,
Shaanxi,China,35.1917,108.8701,01-27-2020 ,35,
Hainan,China,19.1959,109.7453,01-27-2020 ,33,
Liaoning,China,41.2956,122.6085,01-27-2020 ,27,
Yunnan,China,24.974,101.487,01-27-2020 ,26,
Tianjin,China,39.3054,117.323,01-27-2020 ,23,
Heilongjiang,China,47.862,127.7615,01-27-2020 ,21,
Hebei,China,38.0428,114.5149,01-27-2020 ,18,
Gansu,China,36.0611,103.8343,01-27-2020 ,14,
Shanxi,China,37.5777,112.2922,01-27-2020 ,13,
Inner Mongolia,China,44.0935,113.9448,01-27-2020 ,11,
Hong Kong,Hong Kong,22.3,114.2,01-27-2020 ,8,
Guizhou,China,26.8154,106.8748,01-27-2020 ,7,
Ningxia,China,37.2692,106.1655,01-27-2020 ,7,
Jilin,China,43.6661,126.1923,01-27-2020 ,6,
Macau,Macau,22.1667,113.55,01-27-2020 ,6,
Qinghai,China,35.7452,95.9956,01-27-2020 ,6,
Taiwan,Taiwan,23.7,121,01-27-2020 ,5,
Xinjiang,China,41.1129,85.2401,01-27-2020 ,5,
Washington,US,47.7511,-120.74,01-27-2020 ,1,
Illinois,US,40.6331,-89.3985,01-27-2020 ,1,
California,US,36.7783,-119.418,01-27-2020 ,2,
Arizona,US,34.0489,-111.094,01-27-2020 ,1,
,Japan,36,138,01-27-2020 ,4,
,Thailand,15,101,01-27-2020 ,8,
,South Korea,36,128,01-27-2020 ,4,
,Singapore,1.2833,103.8333,01-27-2020 ,5,
,Vietnam,16,108,01-27-2020 ,2,
,France,47,2,01-27-2020 ,3,
,Nepal,28.1667,84.25,01-27-2020 ,1,
,Malaysia,2.5,112.5,01-27-2020 ,4,
Ontario,Canada,51.2538,-85.3232,01-27-2020 ,1,
,Cambodia,11.55,104.9167,01-27-2020 ,1,
,Sri Lanka,7,81,01-27-2020 ,1,
,Ivory Coast,7.54,-5.55,01-27-2020 ,1,
New South Wales,Australia,-33.8688,151.2093,01-27-2020 ,4,
Victoria,Australia,-37.8136,144.9631,01-27-2020 ,1,
Hubei,China,30.9756,112.2707,01-28-2020 ,3554,
Guangdong,China,23.3417,113.4244,01-28-2020 ,207,
Zhejiang,China,29.1832,120.0934,01-28-2020 ,173,
Henan,China,33.88202,113.614,01-28-2020 ,168,
Hunan,China,27.6104,111.7088,01-28-2020 ,143,
Chongqing,China,30.0572,107.874,01-28-2020 ,132,
Jiangxi,China,27.614,115.7221,01-28-2020 ,109,
Anhui,China,31.8257,117.2264,01-28-2020 ,106,
Shandong,China,36.3427,118.1498,01-28-2020 ,95,
Beijing,China,40.1824,116.4142,01-28-2020 ,91,
Sichuan,China,30.6171,102.7103,01-28-2020 ,90,
Fujian,China,26.0789,117.9874,01-28-2020 ,80,
Jiangsu,China,32.9711,119.455,01-28-2020 ,70,
Shanghai,China,31.202,121.4491,01-28-2020 ,66,
Guangxi,China,23.8298,108.7881,01-28-2020 ,51,
Shaanxi,China,35.1917,108.8701,01-28-2020 ,46,
Yunnan,China,24.974,101.487,01-28-2020 ,44,
Hainan,China,19.1959,109.7453,01-28-2020 ,40,
Liaoning,China,41.2956,122.6085,01-28-2020 ,34,
Hebei,China,38.0428,114.5149,01-28-2020 ,33,
Heilongjiang,China,47.862,127.7615,01-28-2020 ,33,
Shanxi,China,37.5777,112.2922,01-28-2020 ,27,
Tianjin,China,39.3054,117.323,01-28-2020 ,24,
Gansu,China,36.0611,103.8343,01-28-2020 ,19,
Inner Mongolia,China,44.0935,113.9448,01-28-2020 ,15,
Ningxia,China,37.2692,106.1655,01-28-2020 ,11,
Xinjiang,China,41.1129,85.2401,01-28-2020 ,10,
Guizhou,China,26.8154,106.8748,01-28-2020 ,9,
Jilin,China,43.6661,126.1923,01-28-2020 ,8,
Taiwan,Taiwan,23.7,121,01-28-2020 ,8,
Hong Kong,Hong Kong,22.3,114.2,01-28-2020 ,8,
Macau,Macau,22.1667,113.55,01-28-2020 ,7,
Qinghai,China,35.7452,95.9956,01-28-2020 ,6,
Washington,US,47.7511,-120.74,01-28-2020 ,1,
Illinois,US,40.6331,-89.3985,01-28-2020 ,1,
California,US,36.7783,-119.418,01-28-2020 ,2,
Arizona,US,34.0489,-111.094,01-28-2020 ,1,
,Japan,36,138,01-28-2020 ,7,
,Thailand,15,101,01-28-2020 ,14,
,South Korea,36,128,01-28-2020 ,4,
,Singapore,1.2833,103.8333,01-28-2020 ,7,
,Vietnam,16,108,01-28-2020 ,2,
,France,47,2,01-28-2020 ,4,
,Nepal,28.1667,84.25,01-28-2020 ,1,
,Malaysia,2.5,112.5,01-28-2020 ,4,
Ontario,Canada,51.2538,-85.3232,01-28-2020 ,1,
British Columbia,Canada,49.2827,-123.1207,01-28-2020 ,1,
,Cambodia,11.55,104.9167,01-28-2020 ,1,
,Sri Lanka,7,81,01-28-2020 ,1,
New South Wales,Australia,-33.8688,151.2093,01-28-2020 ,4,
Victoria,Australia,-37.8136,144.9631,01-28-2020 ,1,
Bavaria,Germany,51.1657,10.4515,01-28-2020 ,4,
Hubei,China,30.9756,112.2707,01-29-2020 ,3554,
Zhejiang,China,29.1832,120.0934,01-29-2020 ,296,
Guangdong,China,23.3417,113.4244,01-29-2020 ,277,
Hunan,China,27.6104,111.7088,01-29-2020 ,221,
Henan,China,33.88202,113.614,01-29-2020 ,206,
Anhui,China,31.8257,117.2264,01-29-2020 ,152,
Chongqing,China,30.0572,107.874,01-29-2020 ,147,
Shandong,China,36.3427,118.1498,01-29-2020 ,130,
Beijing,China,40.1824,116.4142,01-29-2020 ,111,
Jiangxi,China,27.614,115.7221,01-29-2020 ,109,
Sichuan,China,30.6171,102.7103,01-29-2020 ,108,
Jiangsu,China,32.9711,119.455,01-29-2020 ,99,
Shanghai,China,31.202,121.4491,01-29-2020 ,96,
Fujian,China,26.0789,117.9874,01-29-2020 ,84,
Guangxi,China,23.8298,108.7881,01-29-2020 ,58,
Shaanxi,China,35.1917,108.8701,01-29-2020 ,56,
Yunnan,China,24.974,101.487,01-29-2020 ,55,
Hebei,China,38.0428,114.5149,01-29-2020 ,48,
Hainan,China,19.1959,109.7453,01-29-2020 ,43,
Liaoning,China,41.2956,122.6085,01-29-2020 ,39,
Heilongjiang,China,47.862,127.7615,01-29-2020 ,38,
Tianjin,China,39.3054,117.323,01-29-2020 ,27,
Shanxi,China,37.5777,112.2922,01-29-2020 ,27,
Gansu,China,36.0611,103.8343,01-29-2020 ,24,
Inner Mongolia,China,44.0935,113.9448,01-29-2020 ,16,
Xinjiang,China,41.1129,85.2401,01-29-2020 ,13,
Ningxia,China,37.2692,106.1655,01-29-2020 ,12,
Hong Kong,Hong Kong,22.3,114.2,01-29-2020 ,10,
Guizhou,China,26.8154,106.8748,01-29-2020 ,9,
Jilin,China,43.6661,126.1923,01-29-2020 ,9,
Taiwan,Taiwan,23.7,121,01-29-2020 ,8,
Macau,Macau,22.1667,113.55,01-29-2020 ,7,
Qinghai,China,35.7452,95.9956,01-29-2020 ,6,
Washington,US,47.7511,-120.74,01-29-2020 ,1,
Illinois,US,40.6331,-89.3985,01-29-2020 ,1,
California,US,36.7783,-119.418,01-29-2020 ,2,
Arizona,US,34.0489,-111.094,01-29-2020 ,1,
,Japan,36,138,01-29-2020 ,7,
,Thailand,15,101,01-29-2020 ,14,
,South Korea,36,128,01-29-2020 ,4,
,Singapore,1.2833,103.8333,01-29-2020 ,7,
,Vietnam,16,108,01-29-2020 ,2,
,France,47,2,01-29-2020 ,5,
,Nepal,28.1667,84.25,01-29-2020 ,1,
,Malaysia,2.5,112.5,01-29-2020 ,7,
Ontario,Canada,51.2538,-85.3232,01-29-2020 ,1,
British Columbia,Canada,49.2827,-123.1207,01-29-2020 ,1,
,Cambodia,11.55,104.9167,01-29-2020 ,1,
,Sri Lanka,7,81,01-29-2020 ,1,
New South Wales,Australia,-33.8688,151.2093,01-29-2020 ,4,
Victoria,Australia,-37.8136,144.9631,01-29-2020 ,1,
Bavaria,Germany,51.1657,10.4515,01-29-2020 ,4,
,Finland,64,26,01-29-2020 ,1,
,United Arab Emirates,24,54,01-29-2020 ,4,
Hubei,China,30.9756,112.2707,01-30-2020 ,4903,
Zhejiang,China,29.1832,120.0934,01-30-2020 ,428,
Guangdong,China,23.3417,113.4244,01-30-2020 ,354,
Henan,China,33.88202,113.614,01-30-2020 ,278,
Hunan,China,27.6104,111.7088,01-30-2020 ,277,
Anhui,China,31.8257,117.2264,01-30-2020 ,200,
Chongqing,China,30.0572,107.874,01-30-2020 ,182,
Jiangxi,China,27.614,115.7221,01-30-2020 ,162,
Shandong,China,36.3427,118.1498,01-30-2020 ,158,
Sichuan,China,30.6171,102.7103,01-30-2020 ,142,
Jiangsu,China,32.9711,119.455,01-30-2020 ,129,
Beijing,China,40.1824,116.4142,01-30-2020 ,114,
Shanghai,China,31.202,121.4491,01-30-2020 ,112,
Fujian,China,26.0789,117.9874,01-30-2020 ,101,
Guangxi,China,23.8298,108.7881,01-30-2020 ,78,
Yunnan,China,24.974,101.487,01-30-2020 ,70,
Hebei,China,38.0428,114.5149,01-30-2020 ,65,
Shaanxi,China,35.1917,108.8701,01-30-2020 ,63,
Hainan,China,19.1959,109.7453,01-30-2020 ,46,
Heilongjiang,China,47.862,127.7615,01-30-2020 ,44,
Liaoning,China,41.2956,122.6085,01-30-2020 ,41,
Shanxi,China,37.5777,112.2922,01-30-2020 ,35,
Tianjin,China,39.3054,117.323,01-30-2020 ,31,
Gansu,China,36.0611,103.8343,01-30-2020 ,26,
Inner Mongolia,China,44.0935,113.9448,01-30-2020 ,19,
Ningxia,China,37.2692,106.1655,01-30-2020 ,17,
Jilin,China,43.6661,126.1923,01-30-2020 ,14,
Xinjiang,China,41.1129,85.2401,01-30-2020 ,14,
Guizhou,China,26.8154,106.8748,01-30-2020 ,12,
Hong Kong,Hong Kong,22.3,114.2,01-30-2020 ,10,
Taiwan,Taiwan,23.7,121,01-30-2020 ,9,
Qinghai,China,35.7452,95.9956,01-30-2020 ,8,
Macau,Macau,22.1667,113.55,01-30-2020 ,7,
Tibet,China,31.6927,88.0924,01-30-2020 ,1,
Washington,US,47.7511,-120.74,01-30-2020 ,1,
Illinois,US,40.6331,-89.3985,01-30-2020 ,1,
California,US,36.7783,-119.418,01-30-2020 ,2,
Arizona,US,34.0489,-111.094,01-30-2020 ,1,
,Japan,36,138,01-30-2020 ,11,
,Thailand,15,101,01-30-2020 ,14,
,South Korea,36,128,01-30-2020 ,4,
,Singapore,1.2833,103.8333,01-30-2020 ,10,
,Vietnam,16,108,01-30-2020 ,2,
,France,47,2,01-30-2020 ,5,
,Nepal,28.1667,84.25,01-30-2020 ,1,
,Malaysia,2.5,112.5,01-30-2020 ,8,
Ontario,Canada,51.2538,-85.3232,01-30-2020 ,2,
British Columbia,Canada,49.2827,-123.1207,01-30-2020 ,1,
,Cambodia,11.55,104.9167,01-30-2020 ,1,
,Sri Lanka,7,81,01-30-2020 ,1,
New South Wales,Australia,-33.8688,151.2093,01-30-2020 ,4,
Victoria,Australia,-37.8136,144.9631,01-30-2020 ,2,
Queensland,Australia,-28.0167,153.4,01-30-2020 ,3,
Bavaria,Germany,51.1657,10.4515,01-30-2020 ,4,
,Finland,64,26,01-30-2020 ,1,
,United Arab Emirates,24,54,01-30-2020 ,4,
,Philippines,13,122,01-30-2020 ,1,
,India,21,78,01-30-2020 ,1,
Hubei,China,30.9756,112.2707,01-31-2020 ,5806,
Zhejiang,China,29.1832,120.0934,01-31-2020 ,538,
Guangdong,China,23.3417,113.4244,01-31-2020 ,436,
Henan,China,33.88202,113.614,01-31-2020 ,352,
Hunan,China,27.6104,111.7088,01-31-2020 ,332,
Jiangxi,China,27.614,115.7221,01-31-2020 ,240,
Anhui,China,31.8257,117.2264,01-31-2020 ,237,
Chongqing,China,30.0572,107.874,01-31-2020 ,211,
Shandong,China,36.3427,118.1498,01-31-2020 ,184,
Sichuan,China,30.6171,102.7103,01-31-2020 ,177,
Jiangsu,China,32.9711,119.455,01-31-2020 ,168,
Beijing,China,40.1824,116.4142,01-31-2020 ,139,
Shanghai,China,31.202,121.4491,01-31-2020 ,135,
Fujian,China,26.0789,117.9874,01-31-2020 ,120,
Guangxi,China,23.8298,108.7881,01-31-2020 ,87,
Shaanxi,China,35.1917,108.8701,01-31-2020 ,87,
Yunnan,China,24.974,101.487,01-31-2020 ,83,
Hebei,China,38.0428,114.5149,01-31-2020 ,82,
Heilongjiang,China,47.862,127.7615,01-31-2020 ,59,
Hainan,China,19.1959,109.7453,01-31-2020 ,52,
Liaoning,China,41.2956,122.6085,01-31-2020 ,48,
Shanxi,China,37.5777,112.2922,01-31-2020 ,39,
Tianjin,China,39.3054,117.323,01-31-2020 ,32,
Guizhou,China,26.8154,106.8748,01-31-2020 ,29,
Gansu,China,36.0611,103.8343,01-31-2020 ,29,
Ningxia,China,37.2692,106.1655,01-31-2020 ,21,
Inner Mongolia,China,44.0935,113.9448,01-31-2020 ,20,
Xinjiang,China,41.1129,85.2401,01-31-2020 ,17,
Jilin,China,43.6661,126.1923,01-31-2020 ,14,
Hong Kong,Hong Kong,22.3,114.2,01-31-2020 ,12,
Taiwan,Taiwan,23.7,121,01-31-2020 ,10,
Qinghai,China,35.7452,95.9956,01-31-2020 ,8,
Macau,Macau,22.1667,113.55,01-31-2020 ,7,
Tibet,China,31.6927,88.0924,01-31-2020 ,1,
,Thailand,15,101,01-31-2020 ,19,
,Japan,36,138,01-31-2020 ,15,
,Singapore,1.2833,103.8333,01-31-2020 ,13,
,South Korea,36,128,01-31-2020 ,11,
,Malaysia,2.5,112.5,01-31-2020 ,8,
,France,47,2,01-31-2020 ,5,
Bavaria,Germany,51.1657,10.4515,01-31-2020 ,5,
New South Wales,Australia,-33.8688,151.2093,01-31-2020 ,4,
,United Arab Emirates,24,54,01-31-2020 ,4,
Victoria,Australia,-37.8136,144.9631,01-31-2020 ,3,
Illinois,US,40.6331,-89.3985,01-31-2020 ,2,
California,US,36.7783,-119.418,01-31-2020 ,2,
,Vietnam,16,108,01-31-2020 ,2,
Ontario,Canada,51.2538,-85.3232,01-31-2020 ,2,
Queensland,Australia,-28.0167,153.4,01-31-2020 ,2,
,Italy,43,12,01-31-2020 ,2,
,UK,55,-3,01-31-2020 ,2,
,Russia,60,90,01-31-2020 ,2,
Washington,US,47.7511,-120.74,01-31-2020 ,1,
Arizona,US,34.0489,-111.094,01-31-2020 ,1,
,Nepal,28.1667,84.25,01-31-2020 ,1,
